Building,Room,Date,Time,Available,Booking Type
STEM,119,2/10/2020,12:00 AM,TRUE,
STEM,119,2/10/2020,1:00 AM,TRUE,
STEM,119,2/10/2020,2:00 AM,TRUE,
STEM,119,2/10/2020,3:00 AM,TRUE,
STEM,119,2/10/2020,4:00 AM,TRUE,
STEM,119,2/10/2020,5:00 AM,TRUE,
STEM,119,2/10/2020,6:00 AM,TRUE,
STEM,119,2/10/2020,7:00 AM,TRUE,
STEM,119,2/10/2020,8:00 AM,TRUE,
STEM,119,2/10/2020,9:00 AM,TRUE,
STEM,119,2/10/2020,10:00 AM,TRUE,
STEM,119,2/10/2020,11:00 AM,FALSE,class
STEM,119,2/10/2020,12:00 PM,TRUE,
STEM,119,2/10/2020,1:00 PM,FALSE,event
STEM,119,2/10/2020,2:00 PM,TRUE,
STEM,119,2/10/2020,3:00 PM,TRUE,
STEM,119,2/10/2020,4:00 PM,TRUE,
STEM,119,2/10/2020,5:00 PM,TRUE,
STEM,119,2/10/2020,6:00 PM,FALSE,class
STEM,119,2/10/2020,7:00 PM,TRUE,
STEM,119,2/10/2020,8:00 PM,TRUE,
STEM,119,2/10/2020,9:00 PM,TRUE,
STEM,119,2/10/2020,10:00 PM,TRUE,
STEM,119,2/10/2020,11:00 PM,TRUE,
STEM,119,2/11/2020,12:00 AM,TRUE,
STEM,119,2/11/2020,1:00 AM,TRUE,
STEM,119,2/11/2020,2:00 AM,TRUE,
STEM,119,2/11/2020,3:00 AM,TRUE,
STEM,119,2/11/2020,4:00 AM,TRUE,
STEM,119,2/11/2020,5:00 AM,TRUE,
STEM,119,2/11/2020,6:00 AM,TRUE,
STEM,119,2/11/2020,7:00 AM,TRUE,
STEM,119,2/11/2020,8:00 AM,TRUE,
STEM,119,2/11/2020,9:00 AM,FALSE,class
STEM,119,2/11/2020,10:00 AM,TRUE,
STEM,119,2/11/2020,11:00 AM,FALSE,event
STEM,119,2/11/2020,12:00 PM,TRUE,
STEM,119,2/11/2020,1:00 PM,TRUE,
STEM,119,2/11/2020,2:00 PM,FALSE,event
STEM,119,2/11/2020,3:00 PM,TRUE,
STEM,119,2/11/2020,4:00 PM,FALSE,class
STEM,119,2/11/2020,5:00 PM,TRUE,
STEM,119,2/11/2020,6:00 PM,FALSE,event
STEM,119,2/11/2020,7:00 PM,TRUE,
STEM,119,2/11/2020,8:00 PM,TRUE,
STEM,119,2/11/2020,9:00 PM,TRUE,
STEM,119,2/11/2020,10:00 PM,TRUE,
STEM,119,2/11/2020,11:00 PM,TRUE,
STEM,119,2/12/2020,12:00 AM,TRUE,
STEM,119,2/12/2020,1:00 AM,TRUE,
STEM,119,2/12/2020,2:00 AM,TRUE,
STEM,119,2/12/2020,3:00 AM,TRUE,
STEM,119,2/12/2020,4:00 AM,TRUE,
STEM,119,2/12/2020,5:00 AM,TRUE,
STEM,119,2/12/2020,6:00 AM,TRUE,
STEM,119,2/12/2020,7:00 AM,TRUE,
STEM,119,2/12/2020,8:00 AM,TRUE,
STEM,119,2/12/2020,9:00 AM,TRUE,
STEM,119,2/12/2020,10:00 AM,FALSE,class
